UF,CÓDIGO DO MUNICÍPIO NO TSE,MUNICÍPIO, ELEITORADO 
MG,41335,BETIM," 274,502 "
MG,41351,BIAS FORTES," 3,770 "
MG,41378,BICAS," 11,531 "
MG,41394,BIQUINHAS," 2,435 "
MG,41416,BOA ESPERANÇA," 31,718 "
MG,41432,BOCAINA DE MINAS," 4,387 "
MG,41459,BOCAIÚVA," 36,563 "
MG,41475,BOM DESPACHO," 38,258 "
MG,41491,BOM JARDIM DE MINAS," 5,770 "
MG,41513,BOM JESUS DA PENHA," 3,401 "
MG,41530,BOM JESUS DO AMPARO," 4,893 "
MG,41556,BOM JESUS DO GALHO," 12,355 "
MG,41572,BOM REPOUSO," 8,612 "
MG,41599,BOM SUCESSO," 15,386 "
MG,41610,BONFIM," 6,849 "
MG,41637,BONFINÓPOLIS DE MINAS," 5,001 "
MG,41742,BONITO DE MINAS," 8,054 "
MG,41653,BORDA DA MATA," 13,228 "
MG,41670,BOTELHOS," 12,774 "
MG,41696,BOTUMIRIM," 5,298 "
MG,41734,BRÁS PIRES," 4,596 "
MG,40045,BRASILÂNDIA DE MINAS," 11,449 "
MG,41718,BRASÍLIA DE MINAS," 26,682 "
MG,41750,BRAÚNAS," 4,452 "
MG,41777,BRAZÓPOLIS," 12,676 "
MG,41793,BRUMADINHO," 30,689 "
MG,41815,BUENO BRANDÃO," 8,775 "
MG,41831,BUENÓPOLIS," 8,495 "
MG,41769,BUGRE," 4,288 "
MG,41858,BURITIS," 18,723 "
MG,41874,BURITIZEIRO," 19,208 "
MG,41785,CABECEIRA GRANDE," 5,430 "
MG,41890,CABO VERDE," 9,622 "
MG,41912,CACHOEIRA DA PRATA," 3,600 "
MG,41939,CACHOEIRA DE MINAS," 9,484 "
MG,40533,CACHOEIRA DE PAJEÚ," 7,122 "
MG,41955,CACHOEIRA DOURADA," 2,323 "
MG,41971,CAETANÓPOLIS," 8,606 "
MG,41998,CAETÉ," 33,493 "
MG,42013,CAIANA," 4,106 "
MG,42030,CAJURI," 4,475 "
MG,42056,CALDAS," 10,947 "
MG,42072,CAMACHO," 2,932 "
MG,42099,CAMANDUCAIA," 17,643 "
MG,42110,CAMBUÍ," 21,372 "
MG,42137,CAMBUQUIRA," 10,301 "
MG,42153,CAMPANÁRIO," 3,450 "
MG,42170,CAMPANHA," 12,345 "
MG,42196,CAMPESTRE," 16,829 "
MG,42218,CAMPINA VERDE," 14,803 "
MG,41807,CAMPO AZUL," 4,163 "
MG,42234,CAMPO BELO," 40,021 "
MG,42250,CAMPO DO MEIO," 10,016 "
MG,42277,CAMPO FLORIDO," 6,303 "
MG,42293,CAMPOS ALTOS," 10,401 "
MG,42315,CAMPOS GERAIS," 20,556 "
MG,42374,CANA VERDE," 4,755 "
MG,42331,CANAÃ," 4,296 "
MG,42358,CANÁPOLIS," 8,882 "
MG,42390,CANDEIAS," 12,102 "
MG,41823,CANTAGALO," 3,770 "
MG,42412,CAPARAÓ," 4,232 "
MG,42439,CAPELA NOVA," 4,414 "
MG,42455,CAPELINHA," 28,148 "
MG,42471,CAPETINGA," 5,734 "
MG,42498,CAPIM BRANCO," 7,946 "
MG,42510,CAPINÓPOLIS," 11,336 "
MG,40061,CAPITÃO ANDRADE," 4,034 "
MG,42536,CAPITÃO ENÉAS," 12,312 "
MG,42552,CAPITÓLIO," 7,556 "
MG,42579,CAPUTIRA," 8,003 "
MG,42595,CARAÍ," 14,675 "
MG,42617,CARANAÍBA," 3,174 "
MG,42633,CARANDAÍ," 20,050 "
MG,42650,CARANGOLA," 25,588 "
MG,42676,CARATINGA," 65,142 "
MG,42692,CARBONITA," 7,926 "
MG,42714,CAREAÇU," 5,004 "
MG,42730,CARLOS CHAGAS," 16,491 "
MG,42757,CARMÉSIA," 2,265 "
MG,42773,CARMO DA CACHOEIRA," 9,558 "
MG,42790,CARMO DA MATA," 9,923 "
MG,42811,CARMO DE MINAS," 9,949 "
MG,42838,CARMO DO CAJURU," 18,088 "
MG,42854,CARMO DO PARANAÍBA," 22,351 "
MG,42870,CARMO DO RIO CLARO," 15,547 "
MG,42897,CARMÓPOLIS DE MINAS," 14,053 "
MG,40088,CARNEIRINHO," 7,746 "
MG,42919,CARRANCAS," 3,424 "
MG,42935,CARVALHÓPOLIS," 3,208 "
MG,42951,CARVALHOS," 3,972 "
MG,42978,CASA GRANDE," 2,707 "
MG,42994,CASCALHO RICO," 3,424 "
MG,43010,CÁSSIA," 14,118 "
MG,43052,CATAGUASES," 53,424 "
MG,41840,CATAS ALTAS," 4,707 "
MG,43079,CATAS ALTAS DA NORUEGA," 3,801 "
MG,40100,CATUJI," 7,870 "
MG,41866,CATUTI," 4,291 "
MG,43095,CAXAMBU," 17,871 "
MG,43117,CEDRO DO ABAETÉ," 1,288 "
MG,43133,CENTRAL DE MINAS," 6,033 "
MG,43150,CENTRALINA," 7,235 "
MG,43176,CHÁCARA," 3,428 "
MG,43192,CHALÉ," 5,299 "
MG,43214,CHAPADA DO NORTE," 9,386 "
MG,41882,CHAPADA GAÚCHA," 8,566 "
MG,43230,CHIADOR," 2,965 "
MG,43257,CIPOTÂNEA," 5,790 "
MG,43273,CLARAVAL," 4,579 "
MG,43290,CLARO DOS POÇÕES," 7,460 "
MG,43311,CLÁUDIO," 20,960 "
MG,43338,COIMBRA," 6,187 "
MG,43354,COLUNA," 6,814 "
MG,43370,COMENDADOR GOMES," 2,842 "
MG,43397,COMERCINHO," 6,799 "
MG,43419,CONCEIÇÃO DA APARECIDA," 7,845 "
MG,43036,CONCEIÇÃO DA BARRA DE MINAS," 3,665 "
MG,43451,CONCEIÇÃO DAS ALAGOAS," 19,146 "
MG,43435,CONCEIÇÃO DAS PEDRAS," 2,729 "
MG,43478,CONCEIÇÃO DE IPANEMA," 4,205 "
MG,43494,CONCEIÇÃO DO MATO DENTRO," 17,088 "
MG,43516,CONCEIÇÃO DO PARÁ," 5,082 "
MG,43532,CONCEIÇÃO DO RIO VERDE," 10,298 "
MG,43559,CONCEIÇÃO DOS OUROS," 8,366 "
MG,41904,CÔNEGO MARINHO," 6,079 "
MG,41920,CONFINS," 6,442 "
MG,43575,CONGONHAL," 8,928 "
MG,43591,CONGONHAS," 41,190 "
MG,43613,CONGONHAS DO NORTE," 4,171 "
MG,43630,CONQUISTA," 5,455 "
MG,43656,CONSELHEIRO LAFAIETE," 96,053 "
MG,43672,CONSELHEIRO PENA," 16,850 "
MG,43699,CONSOLAÇÃO," 1,929 "
MG,43710,CONTAGEM," 427,575 "
MG,43737,COQUEIRAL," 7,733 "
MG,43753,CORAÇÃO DE JESUS," 20,927 "
MG,43770,CORDISBURGO," 7,220 "
MG,43796,CORDISLÂNDIA," 2,742 "
MG,43818,CORINTO," 19,686 "
MG,43834,COROACI," 8,947 "
MG,43850,COROMANDEL," 23,694 "
MG,43877,CORONEL FABRICIANO," 80,313 "
MG,43893,CORONEL MURTA," 7,186 "
MG,43915,CORONEL PACHECO," 2,846 "
MG,43931,CORONEL XAVIER CHAVES," 2,849 "
MG,43958,CÓRREGO DANTA," 3,055 "
MG,43974,CÓRREGO DO BOM JESUS," 4,014 "
MG,41947,CÓRREGO FUNDO," 5,165 "
MG,43990,CÓRREGO NOVO," 3,567 "
MG,44016,COUTO DE MAGALHÃES DE MINAS," 3,809 "
MG,41963,CRISÓLITA," 4,819 "
MG,44032,CRISTAIS," 8,320 "
MG,44059,CRISTÁLIA," 5,028 "
MG,44075,CRISTIANO OTONI," 4,365 "
MG,44091,CRISTINA," 8,165 "
MG,44113,CRUCILÂNDIA," 5,347 "
MG,44130,CRUZEIRO DA FORTALEZA," 3,840 "
MG,44156,CRUZÍLIA," 12,639 "
MG,41980,CUPARAQUE," 4,253 "
MG,42005,CURRAL DE DENTRO," 6,095 "
MG,44172,CURVELO," 58,468 "
MG,44199,DATAS," 4,882 "
MG,44210,DELFIM MOREIRA," 6,701 "
MG,44237,DELFINÓPOLIS," 6,158 "
MG,42021,DELTA," 6,604 "
MG,44253,DESCOBERTO," 4,484 "
MG,44270,DESTERRO DE ENTRE RIOS," 6,046 "
MG,44296,DESTERRO DO MELO," 3,446 "
MG,44318,DIAMANTINA," 36,884 "
MG,44334,DIOGO DE VASCONCELOS," 3,679 "
MG,44350,DIONÍSIO," 6,948 "
MG,44377,DIVINÉSIA," 4,384 "
MG,44393,DIVINO," 15,611 "
MG,44415,DIVINO DAS LARANJEIRAS," 4,648 "
MG,44431,DIVINOLÂNDIA DE MINAS," 6,229 "
MG,44458,DIVINÓPOLIS," 164,433 "
MG,40126,DIVISA ALEGRE," 4,980 "
MG,44474,DIVISA NOVA," 4,853 "
MG,40142,DIVISÓPOLIS," 6,475 "
MG,42048,DOM BOSCO," 3,574 "
MG,44490,DOM CAVATI," 4,884 "
MG,44512,DOM JOAQUIM," 3,983 "
MG,44539,DOM SILVÉRIO," 4,473 "
MG,44555,DOM VIÇOSO," 2,845 "
MG,44571,DONA EUSÉBIA," 5,584 "
MG,44598,DORES DE CAMPOS," 7,633 "
MG,44610,DORES DE GUANHÃES," 5,151 "
MG,44636,DORES DO INDAIÁ," 11,436 "
MG,44652,DORES DO TURVO," 5,153 "
MG,44679,DORESÓPOLIS," 2,248 "
MG,44695,DOURADOQUARA," 1,949 "
MG,40169,DURANDÉ," 6,492 "
MG,44717,ELÓI MENDES," 19,891 "
MG,44733,ENGENHEIRO CALDAS," 7,695 "
MG,44750,ENGENHEIRO NAVARRO," 6,188 "
MG,40185,ENTRE FOLHAS," 5,894 "
MG,44776,ENTRE RIOS DE MINAS," 12,304 "
MG,44792,ERVÁLIA," 16,579 "
MG,44814,ESMERALDAS," 49,405 "
MG,44830,ESPERA FELIZ," 17,166 "
MG,44857,ESPINOSA," 22,657 "
MG,44873,ESPÍRITO SANTO DO DOURADO," 4,802 "
MG,44890,ESTIVA," 9,121 "
MG,44911,ESTRELA DALVA," 2,795 "
MG,44938,ESTRELA DO INDAIÁ," 2,992 "
MG,44954,ESTRELA DO SUL," 5,778 "
MG,44970,EUGENÓPOLIS," 9,017 "
MG,44997,EWBANK DA CÂMARA," 4,204 "
MG,45012,EXTREMA," 32,568 "
MG,45039,FAMA," 3,235 "
MG,45055,FARIA LEMOS," 3,172 "
MG,45071,FELÍCIO DOS SANTOS," 4,946 "
MG,45110,FELISBURGO," 5,636 "
MG,45136,FELIXLÂNDIA," 11,651 "
MG,45152,FERNANDES TOURINHO," 2,720 "
MG,45179,FERROS," 8,621 "
MG,40207,FERVEDOURO," 7,866 "
MG,45195,FLORESTAL," 6,381 "
MG,45217,FORMIGA," 54,268 "
MG,45233,FORMOSO," 5,729 "
MG,45250,FORTALEZA DE MINAS," 3,336 "
MG,45276,FORTUNA DE MINAS," 2,910 "
MG,45292,FRANCISCO BADARÓ," 7,296 "
MG,45314,FRANCISCO DUMONT," 4,032 "
MG,45330,FRANCISCO SÁ," 18,994 "
MG,40223,FRANCISCÓPOLIS," 5,137 "
MG,45357,FREI GASPAR," 5,348 "
MG,45373,FREI INOCÊNCIO," 6,939 "
MG,42064,FREI LAGONEGRO," 3,526 "
MG,45390,FRONTEIRA," 10,298 "
MG,49352,FRONTEIRA DOS VALES," 3,745 "
MG,42080,FRUTA DE LEITE," 5,056 "
MG,45411,FRUTAL," 40,751 "
MG,45438,FUNILÂNDIA," 4,915 "
MG,45454,GALILÉIA," 5,423 "
MG,42102,GAMELEIRAS," 4,435 "
MG,42129,GLAUCILÂNDIA," 3,695 "
MG,42145,GOIABEIRA," 2,717 "
MG,42161,GOIANÁ," 4,131 "
MG,45470,GONÇALVES," 3,929 "
MG,45497,GONZAGA," 4,695 "
MG,45519,GOUVEIA," 10,531 "
MG,45535,GOVERNADOR VALADARES," 213,886 "
MG,45551,GRÃO MOGOL," 11,778 "
MG,45578,GRUPIARA," 1,661 "
MG,45594,GUANHÃES," 24,152 "
MG,45616,GUAPÉ," 10,775 "
MG,45632,GUARACIABA," 8,375 "
MG,42188,GUARACIAMA," 4,888 "
MG,45659,GUARANÉSIA," 15,257 "
MG,45675,GUARANI," 6,990 "
MG,45691,GUARARÁ," 3,571 "
MG,45713,GUARDA-MOR," 5,974 "
MG,45730,GUAXUPÉ," 38,248 "
MG,45756,GUIDOVAL," 6,322 "
MG,45772,GUIMARÂNIA," 6,904 "
MG,45799,GUIRICEMA," 7,171 "
MG,45810,GURINHATÃ," 5,161 "
MG,45837,HELIODORA," 5,130 "
MG,45853,IAPU," 8,474 "
MG,45870,IBERTIOGA," 4,893 "
MG,45896,IBIÁ," 17,059 "
MG,45918,IBIAÍ," 6,625 "
MG,42200,IBIRACATU," 5,880 "
MG,45934,IBIRACI," 8,983 "
MG,45950,IBIRITÉ," 121,310 "
MG,45977,IBITIÚRA DE MINAS," 3,198 "
MG,45993,IBITURUNA," 2,535 "
MG,40240,ICARAÍ DE MINAS," 8,272 "
MG,46019,IGARAPÉ," 29,832 "
MG,46035,IGARATINGA," 8,125 "
MG,46051,IGUATAMA," 6,588 "
MG,46078,IJACI," 5,253 "
MG,46094,ILICÍNEA," 9,639 "
MG,42226,IMBÉ DE MINAS," 5,238 "
MG,46116,INCONFIDENTES," 6,343 "
MG,42242,INDAIABIRA," 6,290 "
MG,46132,INDIANÓPOLIS," 4,792 "
MG,46159,INGAÍ," 2,347 "
MG,46175,INHAPIM," 20,064 "
MG,46191,INHAÚMA," 5,713 "
MG,46213,INIMUTABA," 6,122 "
MG,40266,IPABA," 13,929 "
MG,46230,IPANEMA," 15,182 "
MG,46256,IPATINGA," 174,327 "
MG,46272,IPIAÇU," 3,746 "
MG,46299,IPUIÚNA," 7,659 "
MG,46310,IRAÍ DE MINAS," 6,104 "
MG,46337,ITABIRA," 91,060 "
MG,46353,ITABIRINHA," 8,890 "
MG,46370,ITABIRITO," 41,426 "
MG,46396,ITACAMBIRA," 4,508 "
MG,46418,ITACARAMBI," 13,483 "
MG,46434,ITAGUARA," 10,582 "
MG,46450,ITAIPÉ," 9,175 "
MG,46477,ITAJUBÁ," 73,324 "
MG,46493,ITAMARANDIBA," 24,865 "
MG,46515,ITAMARATI DE MINAS," 3,650 "
MG,46531,ITAMBACURI," 18,217 "
MG,46558,ITAMBÉ DO MATO DENTRO," 2,390 "
MG,46574,ITAMOGI," 9,352 "
MG,46590,ITAMONTE," 11,658 "
MG,46612,ITANHANDU," 12,266 "
MG,46639,ITANHOMI," 9,369 "
MG,46655,ITAOBIM," 16,156 "
MG,46671,ITAPAGIPE," 10,238 "
MG,46698,ITAPECERICA," 17,922 "
MG,46710,ITAPEVA," 7,726 "
MG,46736,ITATIAIUÇU," 10,061 "
MG,54453,ITAÚ DE MINAS," 12,301 "
MG,46752,ITAÚNA," 69,772 "
MG,46779,ITAVERAVA," 5,536 "
MG,46795,ITINGA," 11,124 "
MG,46817,ITUETA," 4,882 "
MG,46833,ITUIUTABA," 76,289 "
MG,46850,ITUMIRIM," 5,996 "
MG,46876,ITURAMA," 29,950 "
MG,46892,ITUTINGA," 3,740 "
MG,46914,JABOTICATUBAS," 14,420 "
MG,46930,JACINTO," 8,999 "
MG,46957,JACUÍ," 6,386 "
MG,46973,JACUTINGA," 18,297 "
MG,46990,JAGUARAÇU," 3,142 "
MG,40282,JAÍBA," 24,172 "
MG,40304,JAMPRUCA," 4,312 "
MG,47015,JANAÚBA," 51,586 "
MG,47031,JANUÁRIA," 49,029 "
MG,47058,JAPARAÍBA," 3,384 "
MG,42269,JAPONVAR," 8,161 "
MG,47074,JECEABA," 5,997 "
MG,42285,JENIPAPO DE MINAS," 5,844 "
MG,47090,JEQUERI," 10,292 "
MG,47112,JEQUITAÍ," 6,780 "
MG,47139,JEQUITIBÁ," 5,801 "
MG,47155,JEQUITINHONHA," 17,602 "
MG,47171,JESUÂNIA," 4,119 "
MG,47198,JOAÍMA," 10,954 "
MG,47210,JOANÉSIA," 5,148 "
MG,47236,JOÃO MONLEVADE," 59,727 "
MG,47252,JOÃO PINHEIRO," 37,322 "
MG,47279,JOAQUIM FELÍCIO," 3,426 "
MG,47295,JORDÂNIA," 7,590 "
MG,42307,JOSÉ GONÇALVES DE MINAS," 3,784 "
MG,42323,JOSÉ RAYDAN," 4,297 "
MG,40924,JOSENÓPOLIS," 3,394 "
MG,40320,JUATUBA," 21,661 "
MG,47333,JUIZ DE FORA," 410,339 "
MG,47350,JURAMENTO," 4,461 "
MG,47376,JURUAIA," 8,945 "
MG,40940,JUVENÍLIA," 5,694 "
MG,47392,LADAINHA," 12,579 "
MG,47414,LAGAMAR," 6,533 "
MG,47430,LAGOA DA PRATA," 35,228 "
MG,47457,LAGOA DOS PATOS," 3,844 "
MG,47473,LAGOA DOURADA," 9,715 "
MG,47490,LAGOA FORMOSA," 14,412 "
MG,40347,LAGOA GRANDE," 7,399 "
MG,47511,LAGOA SANTA," 46,443 "
MG,47538,LAJINHA," 17,041 "
MG,47554,LAMBARI," 16,600 "
MG,47570,LAMIM," 3,456 "
MG,47597,LARANJAL," 5,536 "
MG,47619,LASSANCE," 5,806 "
MG,47635,LAVRAS," 72,492 "
MG,47651,LEANDRO FERREIRA," 3,378 "
MG,40967,LEME DO PRADO," 4,222 "
MG,47678,LEOPOLDINA," 40,521 "
MG,47694,LIBERDADE," 4,444 "
MG,47716,LIMA DUARTE," 14,244 "
MG,40363,LIMEIRA DO OESTE," 5,858 "
MG,40380,LONTRA," 8,088 "
MG,40983,LUISBURGO," 5,569 "
MG,41009,LUISLÂNDIA," 6,433 "
MG,47732,LUMINÁRIAS," 4,457 "
MG,47759,LUZ," 14,741 "
MG,47775,MACHACALIS," 6,112 "
MG,47791,MACHADO," 29,598 "
MG,47813,MADRE DE DEUS DE MINAS," 4,280 "
MG,47830,MALACACHETA," 15,235 "
MG,40401,MAMONAS," 5,456 "
MG,47856,MANGA," 15,743 "
MG,47872,MANHUAÇU," 58,733 "
MG,47899,MANHUMIRIM," 16,769 "
MG,47910,MANTENA," 20,467 "
MG,47953,MAR DE ESPANHA," 9,788 "
MG,47937,MARAVILHAS," 6,253 "
MG,47970,MARIA DA FÉ," 12,085 "
MG,47996,MARIANA," 48,712 "
MG,48011,MARILAC," 4,412 "
MG,41025,MÁRIO CAMPOS," 12,155 "
MG,48038,MARIPÁ DE MINAS," 2,962 "
MG,48054,MARLIÉRIA," 4,298 "
MG,48070,MARMELÓPOLIS," 2,909 "
MG,48097,MARTINHO CAMPOS," 11,302 "
MG,41041,MARTINS SOARES," 7,497 "
MG,40428,MATA VERDE," 6,604 "
MG,48119,MATERLÂNDIA," 4,503 "
MG,48135,MATEUS LEME," 25,720 "
MG,54313,MATHIAS LOBATO," 3,221 "
MG,48151,MATIAS BARBOSA," 11,731 "
MG,40444,MATIAS CARDOSO," 6,757 "
MG,48178,MATIPÓ," 15,767 "
MG,48194,MATO VERDE," 10,399 "
MG,48216,MATOZINHOS," 29,527 "
MG,48232,MATUTINA," 3,494 "
MG,48259,MEDEIROS," 3,075 "
MG,48275,MEDINA," 15,997 "
MG,48291,MENDES PIMENTEL," 5,278 "
MG,48313,MERCÊS," 8,898 "
MG,48330,MESQUITA," 5,550 "
MG,48356,MINAS NOVAS," 21,980 "
MG,48372,MINDURI," 3,286 "
MG,48399,MIRABELA," 11,417 "
MG,48410,MIRADOURO," 8,012 "
MG,48437,MIRAÍ," 10,643 "
MG,41068,MIRAVÂNIA," 3,990 "
MG,48453,MOEDA," 4,856 "
MG,48470,MOEMA," 6,711 "
MG,48496,MONJOLOS," 2,320 "
MG,48518,MONSENHOR PAULO," 6,773 "
MG,48534,MONTALVÂNIA," 13,005 "
MG,48550,MONTE ALEGRE DE MINAS," 15,305 "
MG,48577,MONTE AZUL," 17,317 "
MG,48593,MONTE BELO," 10,917 "
MG,48615,MONTE CARMELO," 35,524 "
MG,41084,MONTE FORMOSO," 4,488 "
MG,48631,MONTE SANTO DE MINAS," 17,028 "
MG,48674,MONTE SIÃO," 18,260 "
MG,48658,MONTES CLAROS," 279,274 "
MG,40460,MONTEZUMA," 5,973 "
MG,48690,MORADA NOVA DE MINAS," 7,474 "
MG,48712,MORRO DA GARÇA," 2,896 "
MG,48739,MORRO DO PILAR," 3,716 "
MG,48755,MUNHOZ," 6,012 "
MG,48771,MURIAÉ," 77,021 "
MG,48798,MUTUM," 21,021 "
MG,48810,MUZAMBINHO," 17,764 "
MG,48836,NACIP RAYDAN," 3,030 "
MG,48852,NANUQUE," 29,715 "
MG,40487,NAQUE," 5,356 "
MG,41106,NATALÂNDIA," 3,093 "
MG,48879,NATÉRCIA," 4,105 "
MG,48895,NAZARENO," 6,468 "
MG,48917,NEPOMUCENO," 20,569 "
MG,41122,NINHEIRA," 8,274 "
MG,41149,NOVA BELÉM," 3,688 "
MG,48933,NOVA ERA," 14,992 "
MG,48950,NOVA LIMA," 73,621 "
MG,48976,NOVA MÓDICA," 3,641 "
MG,48992,NOVA PONTE," 12,241 "
MG,41165,NOVA PORTEIRINHA," 5,567 "
MG,49018,NOVA RESENDE," 12,606 "
MG,49034,NOVA SERRANA," 55,656 "
MG,47317,NOVA UNIÃO," 5,484 "
MG,49050,NOVO CRUZEIRO," 24,440 "
MG,40509,NOVO ORIENTE DE MINAS," 8,970 "
MG,41181,NOVORIZONTE," 4,707 "
MG,49077,OLARIA," 2,197 "
MG,41203,OLHOS D'ÁGUA," 5,252 "
MG,49093,OLÍMPIO NORONHA," 2,585 "
MG,49115,OLIVEIRA," 32,717 "
MG,49131,OLIVEIRA FORTES," 2,322 "
MG,49158,ONÇA DE PITANGUI," 3,334 "
MG,41220,ORATÓRIOS," 4,434 "
MG,41246,ORIZÂNIA," 6,427 "
MG,49174,OURO BRANCO," 30,993 "
MG,49190,OURO FINO," 24,769 "
MG,49212,OURO PRETO," 61,409 "
MG,49239,OURO VERDE DE MINAS," 6,976 "
MG,41262,PADRE CARVALHO," 4,985 "
MG,49255,PADRE PARAÍSO," 14,024 "
MG,41289,PAI PEDRO," 5,295 "
MG,49271,PAINEIRAS," 4,272 "
MG,49298,PAINS," 6,695 "
MG,49310,PAIVA," 1,726 "
MG,49336,PALMA," 5,384 "
MG,40525,PALMÓPOLIS," 6,141 "
MG,49379,PAPAGAIOS," 11,407 "
MG,49417,PARÁ DE MINAS," 63,804 "
MG,49395,PARACATU," 64,349 "
MG,49433,PARAGUAÇU," 16,944 "
MG,49450,PARAISÓPOLIS," 16,273 "
MG,49476,PARAOPEBA," 19,800 "
MG,49514,PASSA QUATRO," 13,103 "
MG,49530,PASSA TEMPO," 7,576 "
MG,49557,PASSA VINTE," 2,182 "
MG,49492,PASSABÉM," 1,823 "
MG,49573,PASSOS," 79,429 "
MG,41300,PATIS," 5,226 "
MG,49590,PATOS DE MINAS," 109,795 "
MG,49611,PATROCÍNIO," 67,201 "
MG,49638,PATROCÍNIO DO MURIAÉ," 5,278 "
MG,49654,PAULA CÂNDIDO," 7,704 "
MG,49670,PAULISTAS," 4,168 "
MG,49697,PAVÃO," 6,114 "
MG,49719,PEÇANHA," 13,671 "
MG,49735,PEDRA AZUL," 18,519 "
MG,41327,PEDRA BONITA," 5,471 "
MG,49751,PEDRA DO ANTA," 3,098 "
MG,49778,PEDRA DO INDAIÁ," 3,613 "
MG,49794,PEDRA DOURADA," 2,726 "
MG,49816,PEDRALVA," 9,473 "
MG,40541,PEDRAS DE MARIA DA CRUZ," 7,876 "
MG,49832,PEDRINÓPOLIS," 3,217 "
MG,49859,PEDRO LEOPOLDO," 47,415 "
MG,49875,PEDRO TEIXEIRA," 2,285 "
MG,49891,PEQUERI," 3,175 "
MG,49913,PEQUI," 3,646 "
MG,49930,PERDIGÃO," 7,900 "
MG,49956,PERDIZES," 13,067 "
MG,49972,PERDÕES," 17,041 "
MG,40568,PERIQUITO," 6,616 "
MG,49999,PESCADOR," 3,408 "
MG,50016,PIAU," 3,064 "
MG,41343,PIEDADE DE CARATINGA," 7,703 "
MG,50032,PIEDADE DE PONTE NOVA," 3,835 "
MG,50059,PIEDADE DO RIO GRANDE," 4,032 "
MG,50075,PIEDADE DOS GERAIS," 4,929 "
MG,50091,PIMENTA," 6,893 "
MG,41360,PINGO D'ÁGUA," 3,985 "
MG,41386,PINTÓPOLIS," 6,440 "
MG,50113,PIRACEMA," 5,426 "
MG,50130,PIRAJUBA," 4,177 "
MG,50156,PIRANGA," 13,672 "
MG,50172,PIRANGUÇU," 4,600 "
MG,50199,PIRANGUINHO," 6,948 "
MG,50210,PIRAPETINGA," 9,793 "
MG,50237,PIRAPORA," 40,684 "
MG,50253,PIRAÚBA," 9,414 "
MG,50270,PITANGUI," 20,880 "
MG,50296,PIUMHI," 25,232 "
MG,50318,PLANURA," 8,147 "
MG,50334,POÇO FUNDO," 12,816 "
MG,50350,POÇOS DE CALDAS," 117,927 "
MG,50377,POCRANE," 7,326 "
MG,50393,POMPÉU," 23,582 "
MG,50415,PONTE NOVA," 43,839 "
MG,41408,PONTO CHIQUE," 3,929 "
MG,40584,PONTO DOS VOLANTES," 9,346 "
MG,50431,PORTEIRINHA," 30,964 "
MG,50458,PORTO FIRME," 8,956 "
MG,50474,POTÉ," 12,499 "
MG,50490,POUSO ALEGRE," 103,699 "
MG,50512,POUSO ALTO," 5,488 "
MG,50539,PRADOS," 7,061 "
MG,50555,PRATA," 21,699 "
MG,50571,PRATÁPOLIS," 7,488 "
MG,50598,PRATINHA," 2,972 "
MG,50610,PRESIDENTE BERNARDES," 5,780 "
MG,50636,PRESIDENTE JUSCELINO," 4,079 "
MG,50652,PRESIDENTE KUBITSCHEK," 2,861 "
MG,50679,PRESIDENTE OLEGÁRIO," 16,348 "
MG,50717,PRUDENTE DE MORAIS," 7,894 "
MG,50733,QUARTEL GERAL," 3,092 "
MG,50750,QUELUZITO," 2,494 "
MG,50776,RAPOSOS," 13,150 "
MG,50792,RAUL SOARES," 17,989 "
MG,50814,RECREIO," 7,741 "
MG,41424,REDUTO," 5,750 "
MG,50830,RESENDE COSTA," 9,159 "
MG,50857,RESPLENDOR," 13,022 "
MG,50873,RESSAQUINHA," 4,183 "
MG,40606,RIACHINHO," 5,485 "
MG,50890,RIACHO DOS MACHADOS," 7,660 "
MG,50911,RIBEIRÃO DAS NEVES," 214,845 "
MG,50938,RIBEIRÃO VERMELHO," 3,241 "
MG,50954,RIO ACIMA," 8,502 "
MG,50970,RIO CASCA," 11,256 "
MG,51012,RIO DO PRADO," 4,262 "
MG,50997,RIO DOCE," 2,471 "
MG,51039,RIO ESPERA," 5,610 "
MG,51055,RIO MANSO," 4,655 "
MG,51071,RIO NOVO," 7,169 "
MG,51098,RIO PARANAÍBA," 10,994 "
MG,51110,RIO PARDO DE MINAS," 21,041 "
MG,51136,RIO PIRACICABA," 12,352 "
MG,51152,RIO POMBA," 14,260 "
MG,51179,RIO PRETO," 5,175 "
MG,51195,RIO VERMELHO," 10,887 "
MG,51217,RITÁPOLIS," 4,578 "
MG,51233,ROCHEDO DE MINAS," 2,402 "
MG,51250,RODEIRO," 6,570 "
MG,51276,ROMARIA," 3,169 "
MG,40622,ROSÁRIO DA LIMEIRA," 4,951 "
MG,51292,RUBELITA," 7,439 "
MG,51314,RUBIM," 6,618 "
MG,51330,SABARÁ," 95,344 "
MG,51357,SABINÓPOLIS," 12,465 "
MG,51373,SACRAMENTO," 19,514 "
MG,51390,SALINAS," 31,832 "
MG,51411,SALTO DA DIVISA," 4,982 "
MG,51438,SANTA BÁRBARA," 23,294 "
MG,40649,SANTA BÁRBARA DO LESTE," 7,307 "
MG,41440,SANTA BÁRBARA DO MONTE VERDE," 3,206 "
MG,51454,SANTA BÁRBARA DO TUGÚRIO," 4,376 "
MG,41467,SANTA CRUZ DE MINAS," 6,393 "
MG,41483,SANTA CRUZ DE SALINAS," 4,285 "
MG,51470,SANTA CRUZ DO ESCALVADO," 4,847 "
