UF,CÓDIGO DO MUNICÍPIO NO TSE,MUNICÍPIO, ELEITORADO 
AM,2097,BARCELOS," 11,301 "
AM,2119,BARREIRINHA," 20,100 "
AM,2135,BENJAMIN CONSTANT," 21,269 "
AM,2950,BERURI," 12,916 "
AM,2976,BOA VISTA DO RAMOS," 11,667 "
AM,2151,BOCA DO ACRE," 22,558 "
AM,2178,BORBA," 22,473 "
AM,2992,CAAPIRANGA," 8,966 "
AM,2194,CANUTAMA," 9,238 "
AM,2216,CARAUARI," 20,626 "
AM,2232,CAREIRO," 22,649 "
AM,2046,CAREIRO DA VÁRZEA," 15,775 "
AM,2259,COARI," 49,702 "
AM,2275,CODAJÁS," 15,680 "
AM,2291,EIRUNEPÉ," 22,381 "
AM,2313,ENVIRA," 11,528 "
AM,2330,FONTE BOA," 15,485 "
AM,2020,GUAJARÁ," 11,307 "
AM,2356,HUMAITÁ," 31,604 "
AM,2399,IPIXUNA," 11,608 "
AM,98353,IRANDUBA," 33,873 "
AM,2410,ITACOATIARA," 67,270 "
AM,98370,ITAMARATI," 7,004 "
AM,2437,ITAPIRANGA," 7,873 "
AM,2453,JAPURÁ," 4,771 "
AM,2470,JURUÁ," 7,577 "
AM,2496,JUTAÍ," 13,329 "
AM,2518,LÁBREA," 25,441 "
AM,2534,MANACAPURU," 67,504 "
AM,98396,MANAQUIRI," 13,908 "
AM,2550,MANAUS," 1,331,613 "
AM,2577,MANICORÉ," 30,846 "
AM,2593,MARAÃ," 9,616 "
AM,2615,MAUÉS," 34,283 "
AM,2631,NHAMUNDÁ," 13,843 "
AM,2658,NOVA OLINDA DO NORTE," 18,265 "
AM,2011,NOVO AIRÃO," 10,748 "
AM,2674,NOVO ARIPUANÃ," 13,070 "
AM,2690,PARINTINS," 69,583 "
AM,2712,PAUINI," 10,681 "
AM,98418,PRESIDENTE FIGUEIREDO," 23,650 "
AM,98434,RIO PRETO DA EVA," 16,698 "
AM,2372,SANTA ISABEL DO RIO NEGRO," 8,353 "
AM,2739,SANTO ANTÔNIO DO IÇÁ," 15,154 "
AM,2836,SÃO GABRIEL DA CACHOEIRA," 31,185 "
AM,2755,SÃO PAULO DE OLIVENÇA," 17,604 "
AM,98450,SÃO SEBASTIÃO DO UATUMÃ," 6,984 "
AM,2771,SILVES," 7,561 "
AM,98477,TABATINGA," 34,909 "
AM,2798,TAPAUÁ," 13,143 "
AM,2810,TEFÉ," 44,504 "
AM,98515,TONANTINS," 9,904 "
AM,98493,UARINI," 8,177 "
AM,2852,URUCARÁ," 11,723 "
AM,2879,URUCURITUBA," 12,592 "
AP,6017,AMAPÁ," 6,497 "
AP,6033,CALÇOENE," 7,615 "
AP,6068,CUTIAS," 4,808 "
AP,6114,FERREIRA GOMES," 5,478 "
AP,6041,ITAUBAL," 7,365 "
AP,6130,LARANJAL DO JARI," 28,372 "
AP,6050,MACAPÁ," 292,718 "
AP,6076,MAZAGÃO," 16,178 "
AP,6092,OIAPOQUE," 19,547 "
AP,6084,PEDRA BRANCA DO AMAPARI," 9,546 "
AP,6025,PORTO GRANDE," 13,681 "
AP,6009,PRACUÚBA," 3,544 "
AP,6157,SANTANA," 78,332 "
AP,6106,SERRA DO NAVIO," 3,778 "
AP,6173,TARTARUGALZINHO," 9,727 "
AP,6122,VITÓRIA DO JARI," 9,916 "
BA,33014,ABAÍRA," 7,118 "
BA,33030,ABARÉ," 14,246 "
BA,33057,ACAJUTIBA," 12,049 "
BA,33065,ADUSTINA," 11,494 "
BA,33073,ÁGUA FRIA," 12,704 "
BA,33111,AIQUARA," 4,102 "
BA,33138,ALAGOINHAS," 106,935 "
BA,33154,ALCOBAÇA," 18,525 "
BA,33170,ALMADINA," 5,215 "
BA,33197,AMARGOSA," 28,039 "
BA,33219,AMÉLIA RODRIGUES," 19,549 "
BA,30716,AMÉRICA DOURADA," 13,118 "
BA,33235,ANAGÉ," 19,364 "
BA,33251,ANDARAÍ," 10,708 "
BA,33260,ANDORINHA," 12,044 "
BA,33278,ANGICAL," 12,612 "
BA,33294,ANGUERA," 9,189 "
BA,33316,ANTAS," 10,944 "
BA,33332,ANTÔNIO CARDOSO," 10,906 "
BA,33359,ANTÔNIO GONÇALVES," 8,793 "
BA,33375,APORÁ," 14,058 "
BA,33405,APUAREMA," 5,690 "
BA,33383,ARAÇÁS," 9,920 "
BA,33391,ARACATU," 11,409 "
BA,33413,ARACI," 41,475 "
BA,33430,ARAMARI," 9,150 "
BA,30732,ARATACA," 6,299 "
BA,33456,ARATUÍPE," 8,450 "
BA,33472,AURELINO LEAL," 9,590 "
BA,33499,BAIANÓPOLIS," 11,972 "
BA,33510,BAIXA GRANDE," 16,027 "
BA,33529,BANZAÊ," 9,579 "
BA,33537,BARRA," 37,679 "
BA,33553,BARRA DA ESTIVA," 19,844 "
BA,33570,BARRA DO CHOÇA," 28,575 "
BA,33596,BARRA DO MENDES," 12,410 "
BA,33618,BARRA DO ROCHA," 4,181 "
BA,33634,BARREIRAS," 96,559 "
BA,30759,BARRO ALTO," 10,752 "
BA,33650,BARRO PRETO," 6,221 "
BA,30775,BARROCAS," 13,335 "
BA,33677,BELMONTE," 16,042 "
BA,33693,BELO CAMPO," 16,140 "
BA,33715,BIRITINGA," 12,096 "
BA,33731,BOA NOVA," 13,861 "
BA,33758,BOA VISTA DO TUPIM," 14,409 "
BA,33774,BOM JESUS DA LAPA," 48,663 "
BA,33782,BOM JESUS DA SERRA," 9,629 "
BA,33790,BONINAL," 11,020 "
BA,33804,BONITO," 12,928 "
BA,33812,BOQUIRA," 16,862 "
BA,33839,BOTUPORÃ," 9,888 "
BA,33855,BREJÕES," 11,553 "
BA,33871,BREJOLÂNDIA," 8,438 "
BA,33898,BROTAS DE MACAÚBAS," 9,371 "
BA,33910,BRUMADO," 49,108 "
BA,33936,BUERAREMA," 12,612 "
BA,30791,BURITIRAMA," 16,245 "
BA,33952,CAATIBA," 6,457 "
BA,33960,CABACEIRAS DO PARAGUAÇU," 12,843 "
BA,33979,CACHOEIRA," 25,606 "
BA,33995,CACULÉ," 17,667 "
BA,34010,CAEM," 7,805 "
BA,34029,CAETANOS," 10,281 "
BA,34037,CAETITÉ," 41,125 "
BA,34053,CAFARNAUM," 14,584 "
BA,34070,CAIRU," 13,158 "
BA,34096,CALDEIRÃO GRANDE," 10,538 "
BA,34118,CAMACÃ," 18,687 "
BA,34134,CAMAÇARI," 179,126 "
BA,34150,CAMAMU," 26,101 "
BA,34177,CAMPO ALEGRE DE LOURDES," 24,963 "
BA,34193,CAMPO FORMOSO," 55,736 "
BA,34215,CANÁPOLIS," 8,694 "
BA,34231,CANARANA," 19,664 "
BA,34258,CANAVIEIRAS," 24,100 "
BA,34274,CANDEAL," 7,594 "
BA,34290,CANDEIAS," 64,674 "
BA,34312,CANDIBA," 10,644 "
BA,34339,CÂNDIDO SALES," 19,117 "
BA,34355,CANSANÇÃO," 29,317 "
BA,30856,CANUDOS," 13,111 "
BA,30813,CAPELA DO ALTO ALEGRE," 9,677 "
BA,30830,CAPIM GROSSO," 24,053 "
BA,34363,CARAÍBAS," 8,896 "
BA,34371,CARAVELAS," 15,938 "
BA,34398,CARDEAL DA SILVA," 7,688 "
BA,34410,CARINHANHA," 22,849 "
BA,34436,CASA NOVA," 54,997 "
BA,34452,CASTRO ALVES," 22,711 "
BA,34479,CATOLÂNDIA," 4,021 "
BA,34495,CATU," 40,768 "
BA,34509,CATURAMA," 7,794 "
BA,34517,CENTRAL," 13,459 "
BA,34533,CHORROCHÓ," 9,151 "
BA,34550,CÍCERO DANTAS," 26,148 "
BA,34576,CIPÓ," 14,167 "
BA,34592,COARACI," 16,876 "
BA,34614,COCOS," 15,427 "
BA,34630,CONCEIÇÃO DA FEIRA," 16,890 "
BA,34657,CONCEIÇÃO DO ALMEIDA," 15,058 "
BA,34673,CONCEIÇÃO DO COITÉ," 53,074 "
BA,34690,CONCEIÇÃO DO JACUÍPE," 25,509 "
BA,34711,CONDE," 18,839 "
BA,34738,CONDEÚBA," 15,678 "
BA,34754,CONTENDAS DO SINCORÁ," 4,145 "
BA,34770,CORAÇÃO DE MARIA," 21,415 "
BA,34797,CORDEIROS," 7,366 "
BA,34819,CORIBE," 12,185 "
BA,34835,CORONEL JOÃO SÁ," 13,348 "
BA,34851,CORRENTINA," 27,626 "
BA,34878,COTEGIPE," 11,877 "
BA,34894,CRAVOLÂNDIA," 4,381 "
BA,34916,CRISÓPOLIS," 17,593 "
BA,34932,CRISTÓPOLIS," 12,288 "
BA,34959,CRUZ DAS ALMAS," 45,487 "
BA,34975,CURAÇÁ," 25,761 "
BA,34991,DÁRIO MEIRA," 7,764 "
BA,30872,DIAS D'ÁVILA," 51,756 "
BA,35017,DOM BASÍLIO," 10,345 "
BA,35033,DOM MACEDO COSTA," 4,132 "
BA,35050,ELÍSIO MEDRADO," 7,782 "
BA,35076,ENCRUZILHADA," 15,199 "
BA,35092,ENTRE RIOS," 32,516 "
BA,33090,ÉRICO CARDOSO," 8,877 "
BA,35114,ESPLANADA," 26,305 "
BA,35130,EUCLIDES DA CUNHA," 45,392 "
BA,30058,EUNÁPOLIS," 79,079 "
BA,30899,FÁTIMA," 15,855 "
BA,35149,FEIRA DA MATA," 5,440 "
BA,35157,FEIRA DE SANTANA," 400,549 "
BA,30910,FILADÉLFIA," 15,563 "
BA,35173,FIRMINO ALVES," 5,202 "
BA,35190,FLORESTA AZUL," 8,300 "
BA,35211,FORMOSA DO RIO PRETO," 19,549 "
BA,35238,GANDU," 22,831 "
BA,30937,GAVIÃO," 4,406 "
BA,35254,GENTIO DO OURO," 9,451 "
BA,35270,GLÓRIA," 13,319 "
BA,35297,GONGOGI," 5,168 "
BA,35319,GOVERNADOR MANGABEIRA," 16,974 "
BA,30953,GUAJERU," 7,400 "
BA,35335,GUANAMBI," 62,147 "
BA,35351,GUARATINGA," 15,939 "
BA,30970,HELIÓPOLIS," 11,456 "
BA,35378,IAÇU," 21,923 "
BA,35394,IBIASSUCÊ," 8,865 "
BA,35416,IBICARAÍ," 19,203 "
BA,35432,IBICOARA," 14,977 "
BA,35459,IBICUÍ," 11,808 "
BA,35475,IBIPEBA," 13,584 "
BA,35513,IBIPITANGA," 13,342 "
BA,35530,IBIQUERA," 3,810 "
BA,35556,IBIRAPITANGA," 13,613 "
BA,35572,IBIRAPUÃ," 7,284 "
BA,35599,IBIRATAIA," 15,051 "
BA,35610,IBITIARA," 11,100 "
BA,35637,IBITITÁ," 15,119 "
BA,35653,IBOTIRAMA," 20,511 "
BA,35670,ICHU," 5,700 "
BA,35696,IGAPORÃ," 11,980 "
BA,35700,IGRAPIÚNA," 10,145 "
BA,35718,IGUAÍ," 20,406 "
BA,35734,ILHÉUS," 122,636 "
BA,35750,INHAMBUPE," 27,074 "
BA,35777,IPECAETÁ," 13,790 "
BA,35793,IPIAÚ," 30,559 "
BA,35815,IPIRÁ," 44,808 "
BA,35831,IPUPIARA," 8,392 "
BA,35858,IRAJUBA," 5,152 "
BA,35874,IRAMAIA," 9,129 "
BA,35890,IRAQUARA," 17,955 "
BA,35912,IRARÁ," 24,601 "
BA,35939,IRECÊ," 45,822 "
BA,35947,ITABELA," 23,970 "
BA,35955,ITABERABA," 47,246 "
BA,35971,ITABUNA," 154,369 "
BA,35998,ITACARÉ," 17,140 "
BA,36013,ITAETÉ," 11,081 "
BA,36030,ITAGI," 9,927 "
BA,36056,ITAGIBÁ," 11,408 "
BA,36072,ITAGIMIRIM," 6,021 "
BA,36080,ITAGUAÇU DA BAHIA," 10,555 "
BA,36099,ITAJU DO COLÔNIA," 5,374 "
BA,36110,ITAJUÍPE," 17,467 "
BA,36137,ITAMARAJU," 46,954 "
BA,36153,ITAMARI," 6,587 "
BA,36170,ITAMBÉ," 20,074 "
BA,36196,ITANAGRA," 6,051 "
BA,36218,ITANHÉM," 16,231 "
BA,36234,ITAPARICA," 17,579 "
BA,36250,ITAPÉ," 9,386 "
BA,36277,ITAPEBI," 8,015 "
BA,36293,ITAPETINGA," 48,438 "
BA,36315,ITAPICURU," 24,339 "
BA,36331,ITAPITANGA," 6,815 "
BA,36358,ITAQUARA," 6,410 "
BA,36374,ITARANTIM," 14,150 "
BA,36382,ITATIM," 12,579 "
BA,36390,ITIRUÇU," 9,458 "
BA,36412,ITIÚBA," 29,355 "
BA,36439,ITORORÓ," 17,349 "
BA,36455,ITUAÇU," 15,194 "
BA,36471,ITUBERÁ," 19,563 "
BA,30660,IUIU," 8,787 "
BA,30678,JABORANDI," 8,916 "
BA,36498,JACARACI," 11,924 "
BA,36510,JACOBINA," 56,261 "
BA,36536,JAGUAQUARA," 33,127 "
BA,36552,JAGUARARI," 21,920 "
BA,36579,JAGUARIPE," 14,976 "
BA,36595,JANDAÍRA," 9,242 "
BA,36617,JEQUIÉ," 108,875 "
BA,36633,JEREMOABO," 28,465 "
BA,36650,JIQUIRIÇÁ," 11,377 "
BA,36676,JITAÚNA," 11,467 "
BA,30996,JOÃO DOURADO," 18,573 "
BA,36692,JUAZEIRO," 146,909 "
