Ranking IDHM 2010,Município,IDHM 2010,"IDHM 
Renda 
2010",IDHM Longevidade 2010,IDHM Educação 2010
1,São Caetano do Sul (SP),"0,862","0,891","0,887","0,811"
2,Águas de São Pedro (SP),"0,854","0,849","0,890","0,825"
3,Florianópolis (SC),"0,847","0,870","0,873","0,800"
4,Balneário Camboriú (SC),"0,845","0,854","0,894","0,789"
5,Vitória (ES),"0,845","0,876","0,855","0,805"
6,Santos (SP),"0,840","0,861","0,852","0,807"
7,Niterói (RJ),"0,837","0,887","0,854","0,773"
8,Joaçaba (SC),"0,827","0,823","0,891","0,771"
9,Brasília (DF),"0,824","0,863","0,873","0,742"
10,Curitiba (PR),"0,823","0,850","0,855","0,768"
11,Jundiaí (SP),"0,822","0,834","0,866","0,768"
12,Valinhos (SP),"0,819","0,848","0,850","0,763"
13,Vinhedo (SP),"0,817","0,840","0,878","0,739"
14,Santo André (SP),"0,815","0,819","0,861","0,769"
15,Araraquara (SP),"0,815","0,788","0,877","0,782"
16,Santana de Parnaíba (SP),"0,814","0,876","0,849","0,725"
17,Nova Lima (MG),"0,813","0,864","0,885","0,704"
18,Ilha Solteira (SP),"0,812","0,786","0,871","0,782"
19,Americana (SP),"0,811","0,800","0,876","0,760"
20,Belo Horizonte (MG),"0,810","0,841","0,856","0,737"
21,São José (SC),"0,809","0,799","0,880","0,752"
22,Joinville (SC),"0,809","0,795","0,889","0,749"
23,Maringá (PR),"0,808","0,806","0,852","0,768"
24,São José dos Campos (SP),"0,807","0,804","0,855","0,764"
25,Blumenau (SC),"0,806","0,812","0,894","0,722"
26,Presidente Prudente (SP),"0,806","0,788","0,858","0,774"
27,Rio Fortuna (SC),"0,806","0,848","0,850","0,727"
28,São Paulo (SP),"0,805","0,843","0,855","0,725"
29,Assis (SP),"0,805","0,771","0,865","0,781"
30,Campinas (SP),"0,805","0,829","0,860","0,731"
31,São Bernardo do Campo (SP),"0,805","0,807","0,861","0,752"
32,Porto Alegre (RS),"0,805","0,867","0,857","0,702"
33,São Carlos (SP),"0,805","0,788","0,863","0,766"
34,Rio Claro (SP),"0,803","0,784","0,862","0,766"
35,Jaraguá do Sul (SC),"0,803","0,793","0,865","0,755"
36,Rio do Sul (SC),"0,802","0,793","0,894","0,727"
37,Bauru (SP),"0,801","0,800","0,854","0,752"
38,São Miguel do Oeste (SC),"0,801","0,787","0,884","0,739"
39,Pirassununga (SP),"0,801","0,789","0,884","0,736"
40,Concórdia (SC),"0,800","0,777","0,872","0,756"
41,Vila Velha (ES),"0,800","0,807","0,864","0,734"
42,Taubaté (SP),"0,800","0,778","0,883","0,746"
43,Ribeirão Preto (SP),"0,800","0,820","0,844","0,739"
44,Botucatu (SP),"0,800","0,790","0,869","0,746"
45,Goiânia (GO),"0,799","0,824","0,838","0,739"
46,Rio de Janeiro (RJ),"0,799","0,840","0,845","0,719"
47,Marília (SP),"0,798","0,768","0,854","0,776"
48,Sorocaba (SP),"0,798","0,792","0,843","0,762"
49,Guaratinguetá (SP),"0,798","0,764","0,886","0,751"
50,São João da Boa Vista (SP),"0,797","0,776","0,871","0,749"
51,São José do Rio Preto (SP),"0,797","0,801","0,846","0,748"
52,Fernandópolis (SP),"0,797","0,767","0,872","0,758"
53,Itapema (SC),"0,796","0,788","0,881","0,727"
54,Tubarão (SC),"0,796","0,788","0,866","0,740"
55,Carlos Barbosa (RS),"0,796","0,835","0,835","0,724"
56,Brusque (SC),"0,795","0,794","0,894","0,707"
57,Iomerê (SC),"0,795","0,754","0,891","0,749"
58,Paulínia (SP),"0,795","0,800","0,864","0,727"
59,Treze Tílias (SC),"0,795","0,838","0,874","0,685"
60,Itajaí (SC),"0,795","0,778","0,884","0,730"
61,Holambra (SP),"0,793","0,815","0,878","0,698"
62,Quatro Pontes (PR),"0,791","0,790","0,838","0,748"
63,Três Arroios (RS),"0,791","0,843","0,851","0,689"
64,Nova Odessa (SP),"0,791","0,755","0,861","0,762"
65,Ipiranga do Sul (RS),"0,791","0,818","0,866","0,698"
66,Saltinho (SP),"0,791","0,771","0,857","0,750"
67,Votuporanga (SP),"0,790","0,772","0,857","0,744"
68,Santa Cruz da Conceição (SP),"0,790","0,830","0,876","0,679"
69,Adamantina (SP),"0,790","0,772","0,852","0,750"
70,Chapecó (SC),"0,790","0,779","0,871","0,727"
71,Cândido Rodrigues (SP),"0,789","0,747","0,863","0,762"
72,Uberlândia (MG),"0,789","0,776","0,885","0,716"
73,Barretos (SP),"0,789","0,762","0,875","0,738"
74,Luzerna (SC),"0,789","0,781","0,877","0,718"
75,Lagoa dos Três Cantos (RS),"0,789","0,765","0,852","0,754"
76,Araçatuba (SP),"0,788","0,782","0,841","0,744"
77,Cruzeiro (SP),"0,788","0,742","0,871","0,758"
78,Mairiporã (SP),"0,788","0,767","0,881","0,723"
79,Barra Bonita (SP),"0,788","0,762","0,869","0,739"
80,Criciúma (SC),"0,788","0,786","0,846","0,737"
81,Indaiatuba (SP),"0,788","0,791","0,837","0,738"
82,Caçapava (SP),"0,788","0,754","0,858","0,755"
83,Fernando de Noronha (PE),"0,788","0,781","0,839","0,748"
84,Palmas (TO),"0,788","0,789","0,827","0,749"
85,Itajubá (MG),"0,787","0,767","0,884","0,718"
86,Espírito Santo do Pinhal (SP),"0,787","0,784","0,872","0,712"
87,Garibaldi (RS),"0,786","0,825","0,856","0,688"
88,Pompéia (SP),"0,786","0,750","0,864","0,748"
89,Porto União (SC),"0,786","0,752","0,891","0,724"
90,Lins (SP),"0,786","0,762","0,869","0,733"
91,Barueri (SP),"0,786","0,791","0,866","0,708"
92,Piracicaba (SP),"0,785","0,797","0,848","0,717"
93,Amparo (SP),"0,785","0,780","0,871","0,711"
94,Nova Araçá (RS),"0,785","0,796","0,843","0,722"
95,Cuiabá (MT),"0,785","0,800","0,834","0,726"
96,Catanduva (SP),"0,785","0,767","0,853","0,740"
97,Casca (RS),"0,785","0,778","0,847","0,733"
98,Tremembé (SP),"0,785","0,769","0,873","0,720"
99,Monte Aprazível (SP),"0,785","0,781","0,861","0,720"
100,Santa Fé do Sul (SP),"0,784","0,763","0,840","0,751"
101,Ribeirão Pires (SP),"0,784","0,749","0,847","0,760"
102,Ivoti (RS),"0,784","0,780","0,848","0,729"
103,Jaguariúna (SP),"0,784","0,782","0,862","0,715"
104,Santa Maria (RS),"0,784","0,795","0,848","0,715"
105,Salto Veloso (SC),"0,784","0,778","0,880","0,705"
106,Arujá (SP),"0,784","0,761","0,866","0,730"
107,Timbó (SC),"0,784","0,807","0,856","0,697"
108,Campo Grande (MS),"0,784","0,790","0,844","0,724"
109,Mogi Mirim (SP),"0,784","0,767","0,879","0,715"
110,Horizontina (RS),"0,783","0,782","0,858","0,716"
111,Pinhalzinho (SC),"0,783","0,758","0,886","0,716"
112,Mogi das Cruzes (SP),"0,783","0,762","0,851","0,740"
113,Cascavel (PR),"0,782","0,776","0,846","0,728"
114,Caxias do Sul (RS),"0,782","0,812","0,860","0,686"
115,Pato Branco (PR),"0,782","0,778","0,845","0,728"
116,Cerquilho (SP),"0,782","0,758","0,854","0,739"
117,Lavras (MG),"0,782","0,757","0,880","0,719"
118,São Bento do Sul (SC),"0,782","0,763","0,871","0,719"
119,Caieiras (SP),"0,781","0,740","0,861","0,749"
120,Ijuí (RS),"0,781","0,786","0,858","0,707"
121,Santo Amaro da Imperatriz (SC),"0,781","0,753","0,890","0,710"
122,Bombinhas (SC),"0,781","0,753","0,864","0,732"
123,Maravilha (SC),"0,781","0,758","0,886","0,708"
124,Águas da Prata (SP),"0,781","0,750","0,886","0,716"
125,Lacerdópolis (SC),"0,781","0,763","0,883","0,708"
126,Santa Bárbara D'Oeste (SP),"0,781","0,752","0,867","0,731"
127,Araras (SP),"0,781","0,763","0,859","0,728"
128,Bebedouro (SP),"0,780","0,756","0,853","0,735"
129,Cocal do Sul (SC),"0,780","0,747","0,859","0,740"
130,Pomerode (SC),"0,780","0,780","0,886","0,687"
131,Franca (SP),"0,780","0,749","0,842","0,753"
132,Vista Alegre do Prata (RS),"0,780","0,809","0,847","0,692"
133,Nova Petrópolis (RS),"0,780","0,775","0,890","0,688"
134,Boituva (SP),"0,780","0,757","0,861","0,728"
135,Braço do Trombudo (SC),"0,780","0,766","0,883","0,702"
136,Orlândia (SP),"0,780","0,765","0,882","0,703"
137,Corupá (SC),"0,780","0,768","0,873","0,707"
138,Cotia (SP),"0,780","0,789","0,851","0,707"
139,Birigui (SP),"0,780","0,743","0,869","0,734"
140,Salto (SP),"0,780","0,755","0,837","0,751"
141,Poços de Caldas (MG),"0,779","0,768","0,872","0,706"
142,Andradina (SP),"0,779","0,762","0,885","0,702"
143,Piratininga (SP),"0,779","0,762","0,859","0,723"
144,Seara (SC),"0,779","0,804","0,872","0,674"
145,Bento Gonçalves (RS),"0,778","0,805","0,842","0,695"
146,Varginha (MG),"0,778","0,760","0,875","0,707"
147,Juiz de Fora (MG),"0,778","0,784","0,844","0,711"
148,Ourinhos (SP),"0,778","0,753","0,859","0,727"
149,Jaú (SP),"0,778","0,768","0,886","0,693"
150,Londrina (PR),"0,778","0,789","0,837","0,712"
151,Tietê (SP),"0,778","0,764","0,884","0,698"
152,Jaboticabal (SP),"0,778","0,778","0,851","0,710"
153,Itatiba (SP),"0,778","0,788","0,844","0,708"
154,Lajeado (RS),"0,778","0,796","0,840","0,704"
155,Braço do Norte (SC),"0,778","0,746","0,881","0,716"
156,Nova Bréscia (RS),"0,778","0,836","0,847","0,666"
157,Victor Graeff (RS),"0,777","0,774","0,840","0,722"
158,José Bonifácio (SP),"0,777","0,752","0,869","0,717"
159,Selbach (RS),"0,777","0,785","0,841","0,710"
160,Indaial (SC),"0,777","0,767","0,873","0,701"
161,Louveira (SP),"0,777","0,783","0,861","0,697"
162,Mafra (SC),"0,777","0,738","0,880","0,723"
163,Jacareí (SP),"0,777","0,749","0,837","0,749"
164,Sarandi (RS),"0,777","0,776","0,858","0,705"
165,Lagoa Santa (MG),"0,777","0,790","0,857","0,693"
166,Pinheiro Preto (SC),"0,777","0,762","0,866","0,712"
167,Farroupilha (RS),"0,777","0,783","0,861","0,696"
168,Iracemápolis (SP),"0,776","0,742","0,863","0,729"
169,Itaú de Minas (MG),"0,776","0,761","0,862","0,711"
170,Bragança Paulista (SP),"0,776","0,772","0,861","0,704"
171,Erechim (RS),"0,776","0,782","0,833","0,716"
172,Passo Fundo (RS),"0,776","0,787","0,849","0,699"
173,Jales (SP),"0,776","0,750","0,855","0,730"
174,Osasco (SP),"0,776","0,776","0,840","0,718"
175,Araçoiaba da Serra (SP),"0,776","0,751","0,860","0,723"
176,Pirapozinho (SP),"0,776","0,740","0,863","0,733"
177,Dracena (SP),"0,776","0,752","0,842","0,737"
178,Xanxerê (SC),"0,775","0,760","0,861","0,711"
179,Limeira (SP),"0,775","0,761","0,852","0,719"
180,Ceres (GO),"0,775","0,753","0,842","0,733"
181,Itapiranga (SC),"0,775","0,766","0,842","0,723"
182,Viçosa (MG),"0,775","0,758","0,883","0,696"
183,Santa Rita do Passa Quatro (SP),"0,775","0,764","0,887","0,686"
184,Trombudo Central (SC),"0,775","0,760","0,880","0,696"
185,Ouro (SC),"0,774","0,774","0,884","0,677"
186,Treviso (SC),"0,774","0,737","0,882","0,714"
187,Massaranduba (SC),"0,774","0,749","0,867","0,714"
188,Mogi Guaçu (SP),"0,774","0,740","0,852","0,736"
189,Siderópolis (SC),"0,774","0,751","0,880","0,701"
190,Marau (RS),"0,774","0,773","0,857","0,699"
191,Francisco Beltrão (PR),"0,774","0,758","0,844","0,726"
192,Cruzália (SP),"0,774","0,698","0,853","0,778"
193,Marechal Cândido Rondon (PR),"0,774","0,782","0,842","0,704"
194,Pouso Alegre (MG),"0,774","0,755","0,872","0,704"
195,São José do Rio Pardo (SP),"0,774","0,744","0,868","0,717"
196,Pedrinhas Paulista (SP),"0,774","0,749","0,837","0,739"
197,Paraí (RS),"0,773","0,787","0,866","0,679"
198,Itu (SP),"0,773","0,782","0,854","0,692"
199,Auriflama (SP),"0,773","0,746","0,840","0,738"
200,Araguari (MG),"0,773","0,740","0,871","0,716"
201,Serra Alta (SC),"0,773","0,758","0,879","0,694"
202,Santana da Ponte Pensa (SP),"0,773","0,751","0,840","0,733"
203,Rio das Ostras (RJ),"0,773","0,784","0,854","0,689"
204,Pindamonhangaba (SP),"0,773","0,745","0,843","0,736"
205,Olímpia (SP),"0,773","0,737","0,867","0,724"
206,Veranópolis (RS),"0,773","0,797","0,838","0,692"
207,Santa Cruz do Sul (RS),"0,773","0,782","0,852","0,693"
208,Matão (SP),"0,773","0,766","0,847","0,713"
209,Sebastianópolis do Sul (SP),"0,773","0,748","0,835","0,740"
210,São Sebastião (SP),"0,772","0,747","0,875","0,703"
211,Aratiba (RS),"0,772","0,801","0,856","0,670"
212,Uberaba (MG),"0,772","0,772","0,845","0,705"
213,Araxá (MG),"0,772","0,756","0,858","0,709"
214,Santo Ângelo (RS),"0,772","0,765","0,863","0,696"
215,Recife (PE),"0,772","0,798","0,825","0,698"
216,Sales Oliveira (SP),"0,772","0,738","0,845","0,739"
217,Monções (SP),"0,772","0,731","0,814","0,773"
218,Urussanga (SC),"0,772","0,756","0,876","0,695"
219,Santa Salete (SP),"0,772","0,712","0,864","0,748"
220,Lajeado Grande (SC),"0,771","0,750","0,858","0,712"
221,Maracaí (SP),"0,771","0,711","0,850","0,758"
222,Volta Redonda (RJ),"0,771","0,763","0,833","0,720"
223,Itá (SC),"0,771","0,747","0,879","0,698"
224,Poá (SP),"0,771","0,710","0,856","0,754"
225,Ipatinga (MG),"0,771","0,752","0,864","0,705"
226,Tupã (SP),"0,771","0,764","0,852","0,704"
227,Ouroeste (SP),"0,770","0,717","0,866","0,736"
228,Lages (SC),"0,770","0,755","0,867","0,697"
229,Montes Claros (MG),"0,770","0,707","0,868","0,744"
230,Aracaju (SE),"0,770","0,784","0,823","0,708"
231,Santa Rosa de Viterbo (SP),"0,770","0,746","0,868","0,704"
232,Macatuba (SP),"0,770","0,763","0,859","0,697"
233,Armazém (SC),"0,770","0,743","0,882","0,698"
234,Oriente (SP),"0,770","0,717","0,837","0,761"
235,Timóteo (MG),"0,770","0,737","0,836","0,742"
236,Presidente Castello Branco (SC),"0,770","0,813","0,883","0,637"
237,Vargem Grande Paulista (SP),"0,770","0,755","0,884","0,683"
238,Tupi Paulista (SP),"0,769","0,762","0,835","0,715"
239,Santa Rosa (RS),"0,769","0,752","0,871","0,693"
240,Taboão da Serra (SP),"0,769","0,742","0,863","0,710"
241,Cosmópolis (SP),"0,769","0,746","0,876","0,697"
242,São Carlos (SC),"0,769","0,763","0,867","0,688"
243,Campo Limpo Paulista (SP),"0,769","0,733","0,840","0,739"
244,Schroeder (SC),"0,769","0,750","0,855","0,710"
245,Garça (SP),"0,769","0,737","0,849","0,728"
246,Arroio do Meio (RS),"0,769","0,750","0,860","0,706"
247,Pedreira (SP),"0,769","0,750","0,864","0,701"
248,Barbacena (MG),"0,769","0,751","0,881","0,687"
249,Lucas do Rio Verde (MT),"0,768","0,766","0,833","0,710"
250,Toledo (PR),"0,768","0,755","0,855","0,702"
251,Nova Veneza (SC),"0,768","0,741","0,869","0,703"
252,Nova Boa Vista (RS),"0,768","0,764","0,836","0,708"
253,São Luís (MA),"0,768","0,741","0,813","0,752"
254,Resende (RJ),"0,768","0,762","0,839","0,709"
255,São Vicente (SP),"0,768","0,738","0,857","0,716"
256,Palotina (PR),"0,768","0,760","0,864","0,689"
257,Três Passos (RS),"0,768","0,745","0,858","0,710"
258,São Roque (SP),"0,768","0,765","0,863","0,687"
259,Igarapava (SP),"0,768","0,809","0,835","0,671"
260,Bilac (SP),"0,768","0,743","0,845","0,722"
261,Maracajá (SC),"0,768","0,752","0,861","0,699"
262,Monte Alto (SP),"0,768","0,746","0,859","0,707"
263,São Marcos (RS),"0,768","0,775","0,855","0,683"
264,Regente Feijó (SP),"0,768","0,735","0,818","0,752"
265,Serra Negra (SP),"0,767","0,764","0,873","0,676"
266,Votorantim (SP),"0,767","0,720","0,838","0,747"
267,Capivari de Baixo (SC),"0,767","0,724","0,870","0,716"
268,Orindiúva (SP),"0,767","0,719","0,824","0,762"
269,Estrela (RS),"0,767","0,776","0,850","0,684"
270,Avaré (SP),"0,767","0,751","0,866","0,695"
271,Dois Vizinhos (PR),"0,767","0,747","0,850","0,711"
272,Encantado (RS),"0,767","0,764","0,858","0,687"
273,Novo Xingu (RS),"0,767","0,749","0,850","0,708"
274,Cedral (SP),"0,766","0,749","0,872","0,689"
275,Poloni (SP),"0,766","0,736","0,853","0,717"
276,Mauá (SP),"0,766","0,721","0,852","0,733"
277,Nova Prata (RS),"0,766","0,782","0,839","0,686"
278,Parnamirim (RN),"0,766","0,750","0,825","0,726"
279,Santiago (RS),"0,766","0,746","0,882","0,682"
280,Ivatuba (PR),"0,766","0,718","0,837","0,748"
281,Peritiba (SC),"0,766","0,762","0,882","0,669"
282,Pereira Barreto (SP),"0,766","0,728","0,845","0,732"
283,Capivari do Sul (RS),"0,766","0,805","0,836","0,668"
284,Alumínio (SP),"0,766","0,729","0,841","0,732"
285,Carazinho (RS),"0,766","0,756","0,840","0,707"
286,São Simão (SP),"0,766","0,732","0,852","0,722"
287,Lorena (SP),"0,766","0,736","0,856","0,713"
288,Catalão (GO),"0,766","0,769","0,819","0,715"
289,Ituverava (SP),"0,765","0,768","0,841","0,694"
290,Guaporé (RS),"0,765","0,781","0,837","0,685"
291,Atibaia (SP),"0,765","0,786","0,851","0,670"
292,Ibirubá (RS),"0,765","0,786","0,848","0,671"
293,Imbituba (SC),"0,765","0,734","0,868","0,703"
294,Suzano (SP),"0,765","0,708","0,873","0,723"
295,Gaspar (SC),"0,765","0,770","0,889","0,655"
296,São Domingos (SC),"0,765","0,769","0,861","0,675"
297,Espumoso (RS),"0,765","0,747","0,884","0,677"
298,Não-Me-Toque (RS),"0,765","0,784td>","0,847","0,673"
299,Colinas (RS),"0,765","0,786","0,840","0,678"
300,Patos de Minas (MG),"0,765","0,749","0,855","0,698"
301,Nova Erechim (SC),"0,765","0,767","0,851","0,686"
302,Maricá (RJ),"0,765","0,761","0,850","0,692"
303,Nova Europa (SP),"0,765","0,718","0,869","0,718"
304,Santo Antônio do Palma (RS),"0,764","0,787","0,853","0,665"
305,Arroio Trinta (SC),"0,764","0,781","0,873","0,653"
306,Gramado (RS),"0,764","0,783","0,861","0,662"
307,Rondinha (RS),"0,764","0,780","0,842","0,678"
308,Lençóis Paulista (SP),"0,764","0,743","0,837","0,717"
309,Ouro Branco (MG),"0,764","0,753","0,872","0,680"
310,Cerro Largo (RS),"0,764","0,752","0,849","0,698"
311,São Valentim do Sul (RS),"0,764","0,776","0,848","0,677"
312,Videira (SC),"0,764","0,772","0,857","0,675"
313,Cachoeira Paulista (SP),"0,764","0,733","0,837","0,728"
314,Imbé (RS),"0,764","0,825","0,847","0,638"
315,Montauri (RS),"0,764","0,790","0,852","0,662"
316,Rosana (SP),"0,764","0,749","0,818","0,728"
317,Macaé (RJ),"0,764","0,792","0,828","0,681"
318,Divinópolis (MG),"0,764","0,753","0,844","0,702"
319,Paraíso do Tocantins (TO),"0,764","0,759","0,831","0,706"
320,São Domingos do Sul (RS),"0,763","0,780","0,839","0,680"
321,Medianeira (PR),"0,763","0,762","0,849","0,686"
322,Presidente Venceslau (SP),"0,763","0,749","0,837","0,708"
323,São Pedro do Butiá (RS),"0,763","0,760","0,843","0,694"
324,Guararapes (SP),"0,763","0,727","0,840","0,726"
325,Natal (RN),"0,763","0,768","0,835","0,694"
326,João Pessoa (PB),"0,763","0,770","0,832","0,693"
327,Paranavaí (PR),"0,763","0,750","0,844","0,703"
328,Itapetininga (SP),"0,763","0,728","0,864","0,705"
329,Gabriel Monteiro (SP),"0,763","0,721","0,809","0,762"
330,Ponta Grossa (PR),"0,763","0,755","0,837","0,703"
331,Barra Funda (RS),"0,763","0,731","0,856","0,710"
332,Fagundes Varela (RS),"0,763","0,773","0,852","0,674"
333,Buritama (SP),"0,763","0,736","0,839","0,720"
334,Guarulhos (SP),"0,763","0,746","0,831","0,717"
335,Paraguaçu Paulista (SP),"0,762","0,717","0,836","0,739"
336,Sumaré (SP),"0,762","0,744","0,845","0,705"
337,David Canabarro (RS),"0,762","0,740","0,870","0,688"
338,Saldanha Marinho (RS),"0,762","0,745","0,841","0,706"
339,Itupeva (SP),"0,762","0,750","0,844","0,699"
340,Serranópolis do Iguaçu (PR),"0,762","0,778","0,859","0,662"
341,Boa Vista do Buricá (RS),"0,762","0,761","0,834","0,697"
342,Mirassol (SP),"0,762","0,748","0,846","0,698"
343,Osvaldo Cruz (SP),"0,762","0,740","0,837","0,713"
344,Itapira (SP),"0,762","0,750","0,852","0,692"
345,Torres (RS),"0,762","0,750","0,862","0,685"
346,São Joaquim da Barra (SP),"0,762","0,740","0,847","0,706"
347,Mococa (SP),"0,762","0,756","0,827","0,709"
348,Santa Cruz do Rio Pardo (SP),"0,762","0,744","0,867","0,686"
349,São Francisco do Sul (SC),"0,762","0,740","0,856","0,699"
350,Nova Pádua (RS),"0,761","0,762","0,852","0,678"
351,Indiana (SP),"0,761","0,714","0,843","0,733"
352,Alfenas (MG),"0,761","0,737","0,841","0,712"
353,Panambi (RS),"0,761","0,752","0,848","0,691"
354,Itapoá (SC),"0,761","0,739","0,874","0,682"
355,Entre Rios do Oeste (PR),"0,761","0,778","0,826","0,686"
356,Umuarama (PR),"0,761","0,755","0,836","0,698"
357,Vila Maria (RS),"0,761","0,791","0,839","0,664"
358,Santa Rita D'Oeste (SP),"0,761","0,711","0,839","0,740"
359,São João do Oeste (SC),"0,761","0,756","0,873","0,668"
360,Taió (SC),"0,761","0,749","0,879","0,670"
361,Batatais (SP),"0,761","0,766","0,840","0,685"
362,Conselheiro Lafaiete (MG),"0,761","0,736","0,860","0,697"
363,Iguaba Grande (RJ),"0,761","0,744","0,841","0,704"
364,Zortéa (SC),"0,761","0,752","0,885","0,661"
365,Sertãozinho (SP),"0,761","0,768","0,855","0,672"
366,Itaara (RS),"0,760","0,761","0,841","0,687"
367,Sete Lagoas (MG),"0,760","0,742","0,840","0,705"
368,Goiandira (GO),"0,760","0,711","0,849","0,727"
369,Campinas do Sul (RS),"0,760","0,753","0,842","0,691"
370,Araranguá (SC),"0,760","0,745","0,853","0,691"
371,Santa Adélia (SP),"0,760","0,750","0,835","0,702"
372,Tapejara (RS),"0,760","0,763","0,837","0,688"
373,Serafina Corrêa (RS),"0,760","0,755","0,843","0,690"
374,Tijucas (SC),"0,760","0,747","0,873","0,672"
375,Jandira (SP),"0,760","0,738","0,841","0,706"
376,Rio Negro (PR),"0,760","0,721","0,863","0,705"
377,Taiúva (SP),"0,760","0,732","0,835","0,718"
378,Modelo (SC),"0,760","0,751","0,886","0,659"
379,Descalvado (SP),"0,760","0,740","0,865","0,687"
380,Frederico Westphalen (RS),"0,760","0,754","0,846","0,688"
381,Porto Belo (SC),"0,760","0,750","0,886","0,660"
382,Estrela D'Oeste (SP),"0,760","0,712","0,873","0,705"
383,Várzea Paulista (SP),"0,759","0,720","0,863","0,705"
384,Penápolis (SP),"0,759","0,748","0,859","0,680"
385,Iporã do Oeste (SC),"0,759","0,743","0,847","0,695"
386,Monte Alegre do Sul (SP),"0,759","0,752","0,858","0,678"
387,Santo Antônio do Planalto (RS),"0,759","0,701","0,885","0,705"
388,Nova Candelária (RS),"0,759","0,794","0,856","0,643"
389,Salvador (BA),"0,759","0,772","0,835","0,679"
390,Cornélio Procópio (PR),"0,759","0,746","0,848","0,692"
391,São Lourenço (MG),"0,759","0,746","0,871","0,673"
392,Presidente Getúlio (SC),"0,759","0,764","0,874","0,654"
393,Taquaral (SP),"0,759","0,742","0,823","0,716"
394,Caraguatatuba (SP),"0,759","0,735","0,845","0,705"
395,Rio das Pedras (SP),"0,759","0,741","0,842","0,700"
396,Três de Maio (RS),"0,759","0,756","0,834","0,694"
397,Inúbia Paulista (SP),"0,759","0,688","0,849","0,750"
398,Gurupi (TO),"0,759","0,736","0,843","0,706"
399,Rubinéia (SP),"0,759","0,713","0,844","0,726"
400,Herval D'Oeste (SC),"0,758","0,740","0,859","0,684"
401,Picada Café (RS),"0,758","0,738","0,842","0,701"
402,São José dos Pinhais (PR),"0,758","0,749","0,859","0,678"
403,Guabiju (RS),"0,758","0,831","0,857","0,612"
404,Álvares Machado (SP),"0,758","0,712","0,834","0,732"
405,Cordeirópolis (SP),"0,758","0,754","0,858","0,674"
406,Fernando Prestes (SP),"0,758","0,746","0,859","0,680"
407,Iguaraçu (PR),"0,758","0,714","0,833","0,732"
408,Nova Mutum (MT),"0,758","0,773","0,837","0,673"
409,João Monlevade (MG),"0,758","0,724","0,849","0,708"
410,Nova Londrina (PR),"0,758","0,735","0,856","0,691"
411,São João Del Rei (MG),"0,758","0,733","0,860","0,690"
412,Piraju (SP),"0,758","0,740","0,843","0,699"
413,Itaúna (MG),"0,758","0,749","0,850","0,685"
414,Maripá (PR),"0,758","0,736","0,866","0,684"
415,Porto Feliz (SP),"0,758","0,737","0,836","0,706"
416,Colorado (RS),"0,758","0,775","0,835","0,674"
417,Antônio Prado (RS),"0,758","0,777","0,835","0,671"
418,Faxinal dos Guedes (SC),"0,758","0,746","0,863","0,676"
419,Piratuba (SC),"0,758","0,736","0,829","0,714"
420,Gravatal (SC),"0,757","0,726","0,877","0,681"
421,Santa Rosa de Lima (SC),"0,757","0,726","0,843","0,710"
422,Presidente Bernardes (SP),"0,757","0,718","0,839","0,719"
423,Santo Antônio do Aracanguá (SP),"0,757","0,710","0,840","0,728"
424,Canoinhas (SC),"0,757","0,717","0,874","0,692"
425,Diadema (SP),"0,757","0,717","0,844","0,716"
426,Vanini (RS),"0,757","0,736","0,836","0,704"
427,Águas de Santa Bárbara (SP),"0,757","0,744","0,840","0,695"
428,Dois Lajeados (RS),"0,757","0,775","0,837","0,670"
429,Vista Gaúcha (RS),"0,757","0,774","0,839","0,669"
430,Campo Mourão (PR),"0,757","0,749","0,841","0,689"
431,Jataí (GO),"0,757","0,774","0,856","0,656"
432,Piquete (SP),"0,757","0,711","0,823","0,740"
433,Presidente Lucena (RS),"0,757","0,727","0,885","0,674"
434,Colina (SP),"0,757","0,720","0,845","0,712"
435,Cachoeirinha (RS),"0,757","0,749","0,857","0,675"
436,Estância Velha (RS),"0,757","0,749","0,887","0,652"
437,Chapada (RS),"0,757","0,752","0,849","0,679"
438,Palhoça (SC),"0,757","0,752","0,859","0,672"
439,Pedro Leopoldo (MG),"0,757","0,723","0,856","0,700"
440,Ilhabela (SP),"0,756","0,739","0,843","0,693"
441,Balneário Piçarras (SC),"0,756","0,745","0,869","0,668"
442,Nova Castilho (SP),"0,756","0,694","0,823","0,755"
443,Jambeiro (SP),"0,756","0,727","0,860","0,690"
444,Quinze de Novembro (RS),"0,756","0,783","0,841","0,655"
445,Itabira (MG),"0,756","0,729","0,873","0,678"
446,Cravinhos (SP),"0,756","0,737","0,857","0,683"
447,Hortolândia (SP),"0,756","0,716","0,859","0,703"
448,Bálsamo (SP),"0,756","0,746","0,835","0,695"
449,Pirangi (SP),"0,756","0,735","0,837","0,701"
450,Contagem (MG),"0,756","0,745","0,832","0,697"
451,Fortaleza dos Valos (RS),"0,756","0,779","0,837","0,663"
452,Passos (MG),"0,756","0,741","0,886","0,658"
453,Coronel Fabriciano (MG),"0,755","0,715","0,865","0,696"
454,São Pedro (SP),"0,755","0,741","0,863","0,674"
455,São Ludgero (SC),"0,755","0,756","0,834","0,683"
456,Saudades (SC),"0,755","0,723","0,850","0,700"
457,Brodowski (SP),"0,755","0,738","0,864","0,675"
458,Aparecida (SP),"0,755","0,735","0,828","0,706"
